episode_id,task,evidence_type,participant_statement,observed_action,result,errors,backtracks,assistance,interpretation,finding,confidence_change
U01-FORM-001,U01_form_feedback,screenshot_plus_source_review,"Матчу нужно генерировать название автоматически после старта",prefilled_editable_title_visible,feedback_only,not_assessed,not_assessed,none,no_human_title_entry_requested_date_time_still_valuable,new_candidate,participant_proposal_not_accepted_requirement
U01-FORM-002,U01_form_feedback,screenshot_plus_source_review,"Более частым паттерном будет создать матч для подсчета очков других людей",format_toggle_and_creator_plays_checkbox_visible,feedback_only,not_assessed,not_assessed,none,format_important_2v2_rare_creator_participation_should_be_secondary_default_self_slot_wording_needs_reconciliation,new_candidate,participant_frequency_unmeasured
U01-FORM-003,U01_form_feedback,screenshot_plus_source_review,"Стоит дать выбор между 11, 21 и вводом своего значения",points_to_win_numeric_field_default_11_visible,feedback_only,not_assessed,not_assessed,none,custom_bottom_sheet_numeric_keyboard_last_value_stepper_and_save_requested,new_candidate,participant_proposal_not_accepted_requirement
U01-FORM-004,U01_form_feedback,screenshot_plus_source_review,"инпут для ввода значения сухой победы находился в строке чекбокса сухой победы",mercy_checkbox_5_to_0_and_separate_threshold_field_visible,feedback_only,not_assessed,not_assessed,none,compact_secondary_setting_with_formula_from_win_target_requested_rounding_for_even_custom_target_open,new_candidate,participant_proposal_not_accepted_requirement
U01-FORM-005,U01_form_feedback,screenshot_plus_source_review,"Строка выбора подачи тоже может быть доп фичей",server_method_toggle_and_large_serving_rules_alert_visible,feedback_only,not_assessed,not_assessed,none,move_default_server_choice_to_judging_optional_animated_randomizer_remove_setup_alert_requested,new_candidate,participant_proposal_not_accepted_requirement
U01-FORM-006,U01_form_feedback,screenshot_plus_source_review,"Блок с «частым» и «недавним» соперником – классная штука",frequent_and_recent_suggestion_card_visible,feedback_only,not_assessed,not_assessed,none,integrate_suggestions_into_opponent_search_only_when_creator_plays_direct_player_selection_for_other_people,new_candidate,participant_proposal_not_accepted_requirement
U01-FORM-007,U01_form_feedback,screenshot_plus_source_review,"Поле «судья» и вопрос про предложение пригласить предлагаю сейчас скрыть",optional_judge_field_and_invitation_checkbox_visible,feedback_only,not_assessed,not_assessed,none,auto_assign_judge_record_all_scorekeepers_and_defer_solo_match_invitations_requested,new_candidate,requires_domain_and_permission_decision
U01-FORM-008,U01_form_feedback,screenshot_plus_source_review,"можно просто добавить гостевую запись, чтобы в будущем не вводить это имя заново",per_slot_user_guest_toggles_and_player_search_visible,form_not_submitted,not_assessed,not_assessed,none,reusable_guest_identity_and_future_link_to_account_requested_current_guest_only_match_participant,new_candidate,requires_identity_migration_design
U01-DETAIL-001,U01,screenshot_plus_source_review,"Экран между настройками матча и судейством тоже лишний",waiting_match_detail_with_two_participants_and_separate_start_judge_actions_visible,judge_prestart_screen_also_visible,not_assessed,not_assessed,none,direct_creation_to_editable_judge_setup_requested_start_not_proven,new_candidate;GAP-015_overlap,screen_sequence_supported_no_live_click_observation
U01-DETAIL-002,U01_detail_feedback,screenshot_plus_source_review,"Соотнести счет и игрока невозможно",waiting_status_chip_score_above_vertical_player_list_visible,feedback_only,not_assessed,not_assessed,none,center_score_between_side_names_status_chips_should_not_look_clickable_show_actual_first_server,new_candidate,participant_reaction_direct_all_chip_scope_unverified
U01-DETAIL-003,U01_detail_feedback,screenshot_plus_source_review,"Кнопок тут невероятное количество",admin_view_shows_long_action_stack,feedback_only,not_assessed,not_assessed,none,postgame_card_should_prioritize_actions_and_offer_play_again,new_candidate,admin_state_visible_other_roles_not_checked
U01-DETAIL-004,U01_detail_feedback,screenshot_plus_decision_review,"итоги матча будут удалены через 10 секунд и если это сделано случайно, то можно действие отменить",admin_purge_button_visible_on_waiting_match,feedback_only,not_assessed,not_assessed,none,participant_requests_undo_toast_delayed_archive_and_stats_compensation_conflicts_with_D24_confirmation_and_lifecycle,new_candidate,proposal_only_requires_product_security_data_decision
U01-JUDGE-001,U01_judge_feedback,screenshot_plus_source_review,"В наклоненном режиме наблюдаю странные белые поля в интерфейсе",portrait_rotate_hint_and_landscape_white_side_fields_visible,feedback_only,not_assessed,not_assessed,none,dismissible_animated_rotation_hint_and_uniform_dark_landscape_background_requested,new_candidate,white_fields_visible_css_cause_hypothesis
U01-JUDGE-002,U01_judge_feedback,screenshot_plus_source_review,"Всё формулировки сверху лишние и не добавляют пользы",prestart_heading_context_tip_and_server_instructions_visible,feedback_only,not_assessed,not_assessed,none,compact_context_prompt_then_timer_with_LED_style_motion_requested,new_candidate,participant_proposal_motion_accessibility_unchecked
U01-JUDGE-003,U01_judge_feedback,screenshot_plus_source_review,"Дуболировать выбор подающего радио-кнопками – лишнее",server_radio_group_large_swap_button_and_player_cards_visible,feedback_only,not_assessed,not_assessed,none,tap_player_for_first_server_center_overlay_swap_drag_cards_and_clearer_serve_icon_requested,new_candidate,participant_proposal_accessible_alternative_needed
U01-JUDGE-004,U01_judge_feedback,screenshot_plus_source_review,"вся плашка игрока в матче является кнопкой",start_button_below_cards_visible_active_plus_one_buttons_confirmed_in_source,feedback_only,not_assessed,not_assessed,none,overlay_animated_start_then_stable_whole_card_plus_one_targets_requested,new_candidate,active_scoring_visual_self_report_not_shown
U01-JUDGE-005,U01_judge_feedback,self_report_plus_source_review,"После достижения победного очка предлагаю ... блюрить весь экран",post_win_action_bar_confirmed_in_source_not_in_screenshots,feedback_only,not_assessed,not_assessed,none,centered_finish_continue_overlay_prestart_rules_drawer_ingame_top_menu_no_layout_shift_requested,new_candidate,post_win_state_not_observed_in_this_attempt
U01-JUDGE-006,U01_judge_feedback,self_report_plus_source_review,"на какой минуте матча какой стороне был начислен балл. Начисление можно показывать как «+1»",empty_point_log_visible_name_dash_point_rendering_confirmed_in_source,feedback_only,not_assessed,not_assessed,none,participant_requests_timeline_by_match_minute_side_and_plus_one_without_long_dash,new_candidate,completed_game_log_not_shown_timestamp_availability_unverified
U01-EV-001,U01,screenshot,none,side_B_first_server_radio_selected_and_matching_card_highlighted,start_control_visually_available,not_assessed,not_assessed,none,confirms_visible_duplicate_radio_and_card_serve_state,U01-JUDGE-003;U01-JUDGE-004,visual_evidence_upgraded_no_tap_observed
U01-EV-002,U01,screenshot,none,active_judge_timer_and_expanded_more_menu_visible,active_state_visible,not_assessed,not_assessed,none,menu_takes_vertical_space_above_score_cards_Undo_usage_not_shown,U01-JUDGE-005,visual_evidence_upgraded_no_action_observed
U01-EV-003,U01,screenshot,none,deuce_10_to_10_and_two_separate_plus_one_buttons_visible,active_scoring_state_visible,not_assessed,not_assessed,none,confirms_plus_one_button_appearance_not_tap_reliability,U01-JUDGE-004,visual_evidence_upgraded
U01-EV-004,U01,screenshot,none,pending_confirmation_20_to_22_and_inline_finish_continue_buttons_visible,pending_confirmation_state_visible,not_assessed,not_assessed,none,confirms_current_inline_terminal_actions_not_confirm_button_click,U01-JUDGE-005,visual_evidence_upgraded
U01-EV-005,U01,screenshot,none,long_numbered_name_dash_point_log_without_time_visible,point_log_state_visible,not_assessed,not_assessed,none,confirms_dense_log_presentation_not_underlying_timestamps,U01-JUDGE-006,visual_evidence_upgraded
U01-EV-006,U01,screenshot,none,finished_match_card_20_to_22_with_displayed_duration_visible,finished_state_visible,not_assessed,not_assessed,none,does_not_prove_independent_server_state_or_next_pair_setup,U01;U05_partial,game_end_visible_roster_later_clarified_by_self_report
U01-CLAR-001,U01,self_report,"Я намеренно выбрал себя как игрока (в момент прохождения играл как администратор)",not_directly_observed,admin_account_intentionally_player_in_shown_match,not_assessed,not_assessed,none,shown_match_is_deliberate_alternate_scenario_not_original_nonplayer_scorekeeper_task,U01,original_U01_not_tested_not_participant_error
SESSION-STOP,session,self_report,"Это не совсем исследовательская сессия, но я передал всю обратную связь по этому флоу, что хотел",not_directly_observed,session_stopped_by_participant_request,not_assessed,not_assessed,none,feedback_intake_complete_research_tasks_not_completed,none,no_population_or_task_performance_claim
