episode_id,task,stage,source_type,evidence_ref,observation,participant_proposal,limitation
T03-10,U06,generated_bracket,self_report,participant_message_2026-09-17_third,"Изменение способа, seed selectors, поздний add, третье место controls и избыток кнопок воспринимаются как лишние","Оставить явный «Старт», вернуться назад для изменения, danger cancel с bottom sheet, меньше inline alerts","Часть изменений затрагивает принятые функции и lifecycle rules"
T03-11,U06,scroll,self_report,participant_message_2026-09-17_third,"Сообщено об ощущении перекрытия сетки блоком третьего места при прокрутке вверх",,"Модератор не воспроизвёл scroll на устройстве; снимки подтверждают только отдельные кадры"
T04-01,U06,start,image,t04_photo_1_sha256_4aeaa5b64c8e78afd98740a0dbfd468c3da2ea831e552885eaec53d745a8f1be,"Виден статус «Идёт», «Турнир стартовал», текущие матчи и повторные summary/note",,"Запрос/ответ старта и persisted state не наблюдались"
T04-02,U06,start,self_report,participant_message_2026-09-17_fourth,"Участник сообщил о старте и проведении матча; вход в матч из сетки удобен","После старта сделать сетку и игровые переходы главным содержанием","Неизвестно сколько матчей он провёл лично"
T04-03,U06,active_room,image,t04_photos_2_3,"Текущие матчи показаны отдельным списком и в сетке с действиями «Судить»",,"Касание перехода из сетки не снято"
T04-04,U06,played_bracket,image,t04_photos_4_5_6,"Видны счёт, победители, fate icons, «Открыть» и готовый финал с «Судить»",,"Отдельные кадры не дают последовательности всех девяти матчей"
T04-05,U06,bracket_readability,self_report,participant_message_2026-09-17_fourth,"Иконки исходов неясны и по словам участника сдвигают очки; путь победителя не виден","Понятные статусы, стабильная позиция счёта и связи к следующей паре","Смещение очков не измерено геометрически на устройстве"
T04-06,U06,bracket_focus,self_report,participant_message_2026-09-17_fourth,"Открытие сетки не переводит к рабочему этапу и матчу","Фокус viewport на ближайшем готовом матче минимального незавершённого этапа","Это требование к обзору, не доказанный запрет играть поздний готовый матч"
T04-07,U06,bracket_layout,self_report,participant_message_2026-09-17_fourth,"Поздние раунды уходят вниз на мобильном","Исследовать выравнивание первых карточек соседних этапов и полноэкранный режим","Новый layout не проверен на разных размерах и форматах"
T04-08,U06,finished_room,image,t04_photo_7_sha256_42cf777493ab8c368abeb7a1394e9ee441cc2909ee751f300fc4dfe6c3e82bfb,"Виден статус «Завершён» и имя чемпиона",,"Кадр не доказывает способ прохождения всего турнира"
T04-09,U06,finished_summary,image,t04_photo_8_sha256_9acc42e4c4398c9a1eeecd9be4e67f8394b8f0a4df5dd48035ba830efd3f9c6d,"Виден app summary девяти сыгранных матчей; очки мест 1/2/3 — 21/11/27",,"Длительность задания модератором не измерялась"
T04-10,U06,finished_summary,self_report,participant_message_2026-09-17_fourth,"Третье место с большим числом очков чем первое воспринимается странно","Показывать призовые места без таблицы очков; прочее оставить сетке","Сумма игровых очков не обязана определять место по TOURNAMENT-015"
T04-11,U06,final_view,image,t04_photo_9_sha256_b55c94901d2d12c6355181c3f086ef01999dd7122b6705f3cc20040e093d15b4,"Финал расположен низко; при текущем горизонтальном положении карточки частично обрезаны слева",,"Нет непрерывного видеодоказательства скролла"
T04-12,U06,layout,source_review,TournamentBracket.tsx_355_383,"Поздние раунды получают растущий paddingTop; автоматического перехода к готовому матчу в band нет",,"Кодовая причина вероятна, но физическая динамика не воспроизведена"
T05-01,U06,session_stop,self_report,participant_message_2026-09-17_fifth,"Участник попросил остановить ревью и передать написанное оркестратору",,"После этого новые задания не проводились"
T05-02,U06,invitations,self_report,participant_message_2026-09-17_fifth,"Участник отдельно попросил зафиксировать откладывание приглашений на участие","Отложить приглашения на участие","Объём откладывания не уточнён; сценарий с ответами не проводился; D35 не менялся"
