requirement,title,capabilities,lead_package,related_packages,candidate_scenarios,mapping_status,runtime_verdict,run_evidence,target_entry_point,limitation
ADM-006,Разблокировка,CAP-ADMIN-001,ADMIN,ADMIN,SC-AD02,REFINED,PASS,A-RUN-005;admin/evidence/runtime-observations.json;admin/source-review.md;admin-correction.md,admin-correction.md; canonical GAP-026/027; BUG-038 target accepted with reset-review,Fresh login and directory return; pre-block session remains 401
ADM-007,Сброс пароля,CAP-ADMIN-001,ADMIN,ADMIN,SC-AD06,REFINED,FAIL_FINDING,A-RUN-003/A-RUN-004;admin/evidence/runtime-observations.json;admin/source-review.md;admin-correction.md,admin-correction.md; canonical GAP-026/027; BUG-038 target accepted with reset-review,Happy path passes; applied-but-lost response has no GET-first recovery and invites another issue
ADM-008,Аудит,CAP-ADMIN-001,ADMIN,ADMIN,SC-AD02;SC-AD05;SC-AD06,REFINED,PARTIAL_FAIL_UI,A-RUN-002/A-RUN-003/A-RUN-004/A-RUN-005/A-RUN-006;admin/evidence/runtime-observations.json;admin/source-review.md;admin-correction.md,admin-correction.md; canonical GAP-026/027; BUG-038 target accepted with reset-review,DB rows for create/reset/block/unblock/role pass without secrets; minimum user audit-history screen/API is absent; AT-ADM-006 proves block/unblock audit only; missing read surface required by 09 section7; full meta inspection not performed
HOME-001,Состав,CAP-HOME-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,AUTH-A03;auth/evidence/a03-home-empty-390.png;auth/evidence/a03-home-empty-1440.png;auth-review.json;R-RUN-HOME-POPULATED;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,All required populated blocks observed; pure layout benefit unmeasured.
HOME-002,Hero,CAP-HOME-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,AUTH-A03;auth/evidence/run-sc-a03.json;auth-review.json;R-RUN-HOME-POPULATED;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,All5 metrics22/18/4/82%/1.6 and rival/revenge observed; no large-history mathematical boundary proof.
HOME-003,Последние события,CAP-HOME-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,AUTH-A03;auth/evidence/a03-home-empty-390.png;auth-review.json;R-RUN-HOME-POPULATED;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Recent5 match cards sampled; recent tournament top3/nonzero duration not separately browser-tested.
HOME-004,Активные события,CAP-HOME-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL_WITH_FINDING,AUTH-A03;auth/evidence/a03-home-empty-390.png;auth-review.json;R-RUN-HOME-JUDGE-RELEASE;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,"Released judge historical label remains on active card, F-RESULTS005. Current actor creator retains access; no score rights inferred. Active reservation/both tournament+standalone pending future acceptance."
HOME-005,Рейтинг,CAP-HOME-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,AUTH-A03;auth/evidence/a03-home-empty-1440.png;auth-review.json;R-RUN-HOME-POPULATED;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,All-time/month controls and existing stale-response component test; race not injected in Home browser.
HOME-006,Empty states,CAP-HOME-001,AUTH,AUTH,SC-A01;SC-A02;SC-A03,REFINED,PASS_SAMPLED,AUTH-A03;auth/evidence/run-sc-a03.json;auth-review.json,auth/target-spec.md;t-auth-home,Наблюдались active/recent empties и rival explanation; global ranking в fixture DB был непуст
PROFILE-001,Свой профиль,CAP-PROFILE-001,RESULTS,RESULTS;AUTH,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,auth/evidence/a02-active-sessions-390.png;auth/evidence/run-sc-a02.json;auth-review.json;auth-coverage-correction.md;R-RUN-PROFILE-VALIDATION;R-RUN-PROFILE-SESSIONS;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,"Own identity/stats/facts/teams/rank rendered; tournament stats zero fixture, not full nonzero combinations."
PROFILE-002,Интересные факты,CAP-PROFILE-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,R-RUN-PROFILE-PUBLIC;R-RUN-TUTORIAL;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Longest/best/frequent/rival labels in selected22-match fixture; full ties/guest exclusions not isolated.
PROFILE-003,Редактирование,CAP-PROFILE-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,FAIL_WITH_TARGET,R-RUN-PROFILE-VALIDATION;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,"Organization201→400 preserved draft but no field association and focus body, F-RESULTS003. Reauth same/different actor only focused component tests."
PROFILE-004,Аватар,CAP-PROFILE-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,R-RUN-PROFILE-PUBLIC;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Assigned preset rendered and read-only D10 note; ten-preset assignment distribution not tested here.
PROFILE-005,Чужая карточка,CAP-PROFILE-002,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,R-RUN-PROFILE-PUBLIC;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Active public profile email/birthDate absent; challenge visible. Blocked historical target readable without challenge; synthetic cases only.
PROFILE-006,Актуальные данные в истории,CAP-PROFILE-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,NOT_TESTED,results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Successful name change followed by historical-card update not run; failed organization edit provides no proof.
RANK-001,Формула,CAP-RANKING-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,R-RUN-RANKINGS;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Wins18/4/1 order observed; all tie-break branches not independently isolated.
RANK-002,Периоды,CAP-RANKING-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,R-RUN-RANKINGS;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,All-time/month selection rendered; week control and Moscow note visible. Week selection/time boundaries/DST not isolated browser fixtures.
RANK-003,Матчи с гостями,CAP-RANKING-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,NOT_TESTED,results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Guest contribution to registered player ranking not isolated in RESULTS.
RANK-004,Командный рейтинг,CAP-RANKING-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,R-RUN-RANKINGS;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Current two-member team ranking rendered. Original RESULTS004 incorrectly described blocked exclusion; use PRD team semantics.
RANK-005,Карточка игрока,CAP-RANKING-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PASS_SAMPLED,R-RUN-RANKINGS;R-RUN-PROFILE-PUBLIC;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Podium/list to own/public card and challenge guards sampled; no RANK006 requirement exists.
HISTORY-001,Состав,CAP-HISTORY-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,R-RUN-HISTORY-PAGE;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Match list and pagination observed; mixed match+tournament list not a dedicated browser fixture.
HISTORY-002,Фильтры,CAP-HISTORY-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL_WITH_FINDING,R-RUN-HISTORY-SEARCH;R-RUN-HISTORY-PAGE;R-RUN-HISTORY-BACK;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,"Search and filter UI sampled; F-RESULTS001 context gap expert hypothesis. Detail Back tested in components, not traced browser. URL persistence is not a current requirement."
HISTORY-003,Видимость,CAP-HISTORY-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,R-RUN-TUTORIAL;R-RUN-PROFILE-PUBLIC;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,"Tutorial absent from history; public historical profile observed. Full active event actor matrix and blocked caller are inherited technical tests, not RESULTS runtime."
HISTORY-004,Неактивные аккаунты,CAP-HISTORY-001,RESULTS,RESULTS,SC-R01;SC-R02;SC-R03;SC-R04,RESULTS_COORDINATOR_REFINED_ACCEPTED,PARTIAL,R-RUN-PROFILE-PUBLIC;R-RUN-RANKINGS;results/runs.csv;results/evidence/runtime/runtime-facts.json;results-correction.md;results-review.json,results-correction.md;canonical GAP-015/GAP-024/BUG-036/037 where applicable; other existing entries preserved,Blocked historical profile readable and blocked target absent from rankings. Historical list row identity/name update not separately tested.
MATCH-001,Создание,CAP-MATCH-001,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,MATCH_EVIDENCE_REFINED,PASS_SAMPLED,match/evidence/m01-create-before-top-390.json;match/evidence/m03-main-match-created.json;match-review.json,core-review.json;accepted MATCH synthesis,Manual creator defaults nonplaying and owner can create; M01/M02; exact scenario limits in match/runs.csv; not full requirement acceptance.
MATCH-002,Формат,CAP-MATCH-001,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,MATCH_EVIDENCE_REFINED,PASS_SAMPLED,match/evidence/m02-ready-submit-390.png;match/evidence/m03-main-match-created.json;match-review.json,core-review.json;accepted MATCH synthesis,2v2 standalone created with exact four places; M02; exact scenario limits in match/runs.csv; not full requirement acceptance.
MATCH-003,Участники,CAP-MATCH-001,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,MATCH_EVIDENCE_REFINED,PASS_SAMPLED,match/evidence/m03-main-match-created.json;match/evidence/m04-roster-invitation-lifecycle.json;match-review.json,core-review.json;accepted MATCH synthesis,Registered guest team and owner/player separation checked; invitation replacement gap F-MATCH-002; M02/M04; exact scenario limits in match/runs.csv; not full requirement acceptance.
MATCH-004,Быстрый выбор,CAP-MATCH-001,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,MATCH_EVIDENCE_REFINED,PARTIAL_WITH_FINDING,match/evidence/m02-quick-choices-390.png;match/evidence/m02-ready-submit-390.json;match-review.json,core-review.json;accepted MATCH synthesis,All groups present; destination ambiguity F-MATCH-001; M02; exact scenario limits in match/runs.csv; not full requirement acceptance.
MATCH-005,Правила,CAP-MATCH-001,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,MATCH_EVIDENCE_REFINED,PASS_SAMPLED,match/evidence/m03-main-match-created.json;match/evidence/m04-after-roster-edit-1440.json;match-review.json,core-review.json;accepted MATCH synthesis,Custom rules persist before start and edit; M02/M04; exact scenario limits in match/runs.csv; not full requirement acceptance.
MATCH-006,Победа,CAP-MATCH-002,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,PACKAGE_OWNER_TO_REFINE,NOT_TESTED,,AWAITING_PACKAGE_AUDIT,Source assignment only; every requirement needs an explicit run or justified limit.
MATCH-007,Подача,CAP-MATCH-002,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,PACKAGE_OWNER_TO_REFINE,NOT_TESTED,,AWAITING_PACKAGE_AUDIT,Source assignment only; every requirement needs an explicit run or justified limit.
MATCH-008,Старт,CAP-MATCH-002,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,MATCH_EVIDENCE_REFINED,PASS_SAMPLED,match/evidence/m06-role-action-matrix.json;pilot/report.md;match-review.json,core-review.json;accepted MATCH synthesis,Creator-only start action and occupied judge state observed; invitation start closure inherited from accepted gate; M06 plus accepted pilot; exact scenario limits in match/runs.csv; not full requirement acceptance.
MATCH-009,Конкурентность игрока,CAP-MATCH-002,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,PACKAGE_OWNER_TO_REFINE,NOT_TESTED,,AWAITING_PACKAGE_AUDIT,Source assignment only; every requirement needs an explicit run or justified limit.
MATCH-010,Завершение,CAP-MATCH-002,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,PACKAGE_OWNER_TO_REFINE,NOT_TESTED,,AWAITING_PACKAGE_AUDIT,Source assignment only; every requirement needs an explicit run or justified limit.
MATCH-011,Read-only,CAP-MATCH-002,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,PACKAGE_OWNER_TO_REFINE,NOT_TESTED,,AWAITING_PACKAGE_AUDIT,Source assignment only; every requirement needs an explicit run or justified limit.
MATCH-012,Остановка,CAP-MATCH-002,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,PACKAGE_OWNER_TO_REFINE,NOT_TESTED,,AWAITING_PACKAGE_AUDIT,Source assignment only; every requirement needs an explicit run or justified limit.
MATCH-013,Неявка,CAP-MATCH-002,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,PACKAGE_OWNER_TO_REFINE,NOT_TESTED,,AWAITING_PACKAGE_AUDIT,Source assignment only; every requirement needs an explicit run or justified limit.
MATCH-014,Быстрый вызов,CAP-MATCH-003,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,MATCH_EVIDENCE_REFINED,PASS_SAMPLED,match/evidence/m05-challenge-persisted.json;match/evidence/m05-revenge-persisted.json;match-review.json,core-review.json;accepted MATCH synthesis,Creator roster and purposeful invitations persisted; M05; exact scenario limits in match/runs.csv; not full requirement acceptance.
MATCH-015,Черновики,CAP-MATCH-001,MATCH,MATCH,SC-M01;SC-M02;SC-M03;SC-M04,MATCH_EVIDENCE_REFINED,SOURCE_ONLY,../../../../apps/web/src/pages/MatchCreatePage.tsx;match-review.json,core-review.json;accepted MATCH synthesis,Create state is client-local; leave/reload persistence was not separately browser-tested; M01/M05 plus source; exact scenario limits in match/runs.csv; not full requirement acceptance.
MATCH-016,Void ошибочно завершённого результата,CAP-MATCH-002;CAP-ADMIN-002,ADMIN,ADMIN;MATCH,SC-AD01;SC-AD02;SC-AD03;SC-M01;SC-M02;SC-M03;SC-M04,PACKAGE_OWNER_TO_REFINE,NOT_TESTED,,AWAITING_PACKAGE_AUDIT,Source assignment only; every requirement needs an explicit run or justified limit.
MATCH-017,Отмена standalone-матча,CAP-MATCH-002;CAP-ADMIN-002,ADMIN,ADMIN;MATCH,SC-AD01;SC-AD02;SC-AD03;SC-M01;SC-M02;SC-M03;SC-M04,MATCH_EVIDENCE_REFINED,PARTIAL_WITH_FINDING,match/evidence/m04-cancel-persisted.json;match/evidence/m06-role-action-matrix.json;match-review.json;ADMIN A-RUN-007;admin-correction.md,core-review.json;accepted MATCH synthesis,Creator cancel persists; admin surface conflict F-MATCH-004; reason/copy gap F-MATCH-003; M04/M06; exact scenario limits in match/runs.csv; not full requirement acceptance.; outsider admin ordinary detail403 is correct D17; direct force-close cancelled0to1 sampled; minimal UI read permission Q-UX-003 unresolved; other admin states not tested.
JUDGE-001,Один судья,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,PASS_SAMPLED,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Одновременный atomic acquire не воспроизводился в этом UX-прогоне; J-RUN-HANDOVER;J-RUN-OWNERSHIP;authoritative-readbacks.json; exact conditions only; not whole requirement acceptance.
JUDGE-002,Допустимые судьи,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,PASS_SAMPLED,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Обычный active outsider был допустимым получателем; blocked user не проверялся; J-RUN-HANDOVER;fixture-index.json; exact conditions only; not whole requirement acceptance.
JUDGE-003,Захват,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,PASS_SAMPLED,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Параллельная гонка первого acquire покрыта существующим acceptance suite и не повторялась; J-RUN-HANDOVER;J-RUN-OWNERSHIP; exact conditions only; not whole requirement acceptance.
JUDGE-004,Устройство,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,PASS_SAMPLED,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Две auth sessions имитированы в Chromium; двух физических устройств не было; J-RUN-OWNERSHIP;j17-same-user-other-device-blocked-390.json; exact conditions only; not whole requirement acceptance.
JUDGE-005,Занятый слот,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,PASS_SAMPLED,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Copy ownership conflict наблюдалась в runtime; J-RUN-OWNERSHIP;j16-former-owner-blocked-390.json; exact conditions only; not whole requirement acceptance.
JUDGE-006,Release,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,PARTIAL,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Успешный release/reacquire наследуется из принятых тестов; ветка отказа наблюдалась; J-RUN-RELEASE;j25-release-failure-destination-warning-390.json; exact conditions only; not whole requirement acceptance.
JUDGE-007,Handover,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,PASS_SAMPLED,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Истечение TTL не ожидалось; J-RUN-HANDOVER;authoritative-readbacks.json; exact conditions only; not whole requirement acceptance.
JUDGE-008,Heartbeat,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,NOT_TESTED,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Интервалы 30 секунд hidden/visible и TTL 120 секунд не выдерживались по времени; ; exact conditions only; not whole requirement acceptance.
JUDGE-009,Начисление,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,FAIL,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,score-recovery-target.md,BUG-029 подтверждён; recovery copy неизвестного исхода вызывает риск дубликата; J-RUN-RAPID;J-RUN-UNKNOWN-OUTCOME;J-RUN-VERSION-CONFLICT; exact conditions only; not whole requirement acceptance.
JUDGE-010,Undo,CAP-JUDGE-001,JUDGE,JUDGE,SC-J01;SC-J02;SC-J03;SC-J04;SC-J05,JUDGE_REFINED_WITH_CORRECTION,PASS_SAMPLED,judge/runs.csv;judge/requirement-coverage-delta.csv;judge-coverage-correction.md;core-review.json,core-target.md;judge/target-spec.md,Undo после границы коррекции покрыт существующими тестами и не повторялся end-to-end; J-RUN-RAPID;j06-after-undo-landscape.json; exact conditions only; not whole requirement acceptance.
