scenario,package,viewport,roles,state_coverage,baseline,verdict,run_evidence,limitation
SC-J03,JUDGE,1440x900,creator/current judge; target; former owner; same user other auth session,terminal actor/action matrix only,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json,Detailed statistics UI belongs RESULTS; authoritative result and pilot stats are distinct evidence.
SC-J04,JUDGE,390x844,creator/current judge; target; former owner; same user other auth session,offline + root point commit/lost-response/new click2:0,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json;coordinator-rechecks/judge-outcome/receipt.json,Heartbeat/TTL/hidden-return timing not run. Manual-correction generic lost-response is separate source-only observation.
SC-J04,JUDGE,1440x900,creator/current judge; target; former owner; same user other auth session,injected503/lostresponse/exactkey/version conflict; manual correction commit/lost response/stale409/early-GET-before-forward,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json;coordinator-rechecks/judge-outcome/receipt.json;judge-correction-probe/README.md,Heartbeat/TTL/hidden-return timing not run. Manual-correction generic lost-response is separate source-only observation.; Additional probe no third submit/Undo/terminal/mobile; no duplicate score proven.
SC-J05,JUDGE,390x844,creator/current judge; target; former owner; same user other auth session,no-show and early stop persisted outcomes,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json,D23 cancel and D24 void are partial visibility observations here; MATCH supplies separate cancel run; no JUDGE void mutation.
SC-J05,JUDGE,1440x900,creator/current judge; target; former owner; same user other auth session,actor/action matrix only,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,judge/runs.csv;judge-coverage-correction.md;core-review.json,D23 cancel and D24 void are partial visibility observations here; MATCH supplies separate cancel run; no JUDGE void mutation.
SC-T01,TOURNAMENT,390x844,organizer,create SE; direct roster; bracket,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PASS_WITH_FINDING,T-RUN-001;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,Package run is exact for this viewport; findings and untested states remain bounded by the cited run.
SC-T01,TOURNAMENT,1440x900,organizer,create SE; direct roster; bracket,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PASS_WITH_FINDING,T-RUN-001;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,Package run is exact for this viewport; findings and untested states remain bounded by the cited run.
SC-T02,TOURNAMENT,390x844,organizer,consent roster accepted/pending/declined/expired/withdrawn,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PASS_WITH_FINDING,T-RUN-004;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,Package run is exact for this viewport; findings and untested states remain bounded by the cited run.
SC-T02,TOURNAMENT,1440x900,organizer,consent roster accepted/pending/declined/expired/withdrawn,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,NOT_TESTED,tournament-correction.md;social-review.json,No package run covers this exact viewport/device mapping; do not infer coverage from another viewport.
SC-T03,TOURNAMENT,390x844,organizer; scoped-admin; participant; outsider,late add; scoped admin view; readonly; post-start rejection,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PASS,T-RUN-005;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,Package run is exact for this viewport; findings and untested states remain bounded by the cited run.
SC-T03,TOURNAMENT,1440x900,organizer; scoped-admin; participant; outsider,late add; scoped admin view; readonly; post-start rejection,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PASS,T-RUN-005;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,Package run is exact for this viewport; findings and untested states remain bounded by the cited run.
SC-T04,TOURNAMENT,390x844,organizer; participant,V2 SE/DE; BYE; current/next participant view,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PASS_WITH_FINDING,T-RUN-003;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,Package run is exact for this viewport; findings and untested states remain bounded by the cited run.
SC-T04,TOURNAMENT,1440x900,organizer; participant,V2 SE/DE; BYE; current/next participant view,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,NOT_TESTED,tournament-correction.md;social-review.json,No package run covers this exact viewport/device mapping; do not infer coverage from another viewport.
SC-T05,TOURNAMENT,390x844,organizer; participant; admin,dissolve/cancel/withdraw/stop/finished; forbidden admin stop,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,FAIL_WITH_FINDINGS,T-RUN-007;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,Package run is exact for this viewport; findings and untested states remain bounded by the cited run.
SC-T05,TOURNAMENT,1440x900,organizer; participant; admin,dissolve/cancel/withdraw/stop/finished; forbidden admin stop,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,FAIL_WITH_FINDINGS,T-RUN-007;tournament/evidence/runtime-observations.json;tournament-correction.md;social-review.json,Package run is exact for this viewport; findings and untested states remain bounded by the cited run.
SC-TE01,TEAM,390x844,captain; invitee; outsider,entry/empty/create/invite/accept/decline/expire/outsider,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PARTIAL_WITH_FINDINGS,TEAM-BR-01;TEAM-BR-03;TEAM-BR-04;TEAM-BR-05;TEAM-BR-07;team/evidence/runtime-states.json;team-correction.md;social-review.json,Package runs are exact for this viewport; failures and cross-package limits remain bounded by the cited runs.
SC-TE01,TEAM,1440x900,captain,pending invitation history visible; optional revoke discovery probe,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PARTIAL,TEAM-BR-06;team/evidence/runtime-states.json;team-correction.md;social-review.json,"Only invitation history on desktop; no desktop full create/edit/invite journey. Missing revoke is outside current contract, not a required-feature failure. F-TEAM-001 avatar gap applies by source and observed controls."
SC-TE02,TEAM,390x844,member,leave confirmation and persisted membership end,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PARTIAL,TEAM-BR-11;team/evidence/screenshots/te02-leave-confirm-390.png;team/evidence/runtime-states.json;team-correction.md;social-review.json,"Only leave interaction at390; remove/transfer/archive visual state belongs to1440. TEAM-BR-08/09 are cross-package discovery probes, not SC-TE02."
SC-TE02,TEAM,1440x900,captain;former member,remove/transfer and archived read-only detail,GAP012-r6@9f71b9f+candidate-8e876257; social-review.json,PARTIAL_WITH_FINDINGS,TEAM-BR-10;TEAM-BR-11;team/evidence/screenshots/te02-remove-immediate-1440.png;team/evidence/screenshots/te02-transfer-immediate-1440.png;team/evidence/screenshots/te02-archived-readonly-1440.png;team/evidence/runtime-states.json;team-correction.md;social-review.json,Leave confirmation captured at390; this row covers desktop remove/transfer and archive. Concurrent changes not run; removed/archived history statistics not proven.
SC-R01,RESULTS,390x844,participant/operator,history search and populated Home,GAP012-r6@9f71b9f+candidate-8e876257,PARTIAL_WITH_FINDING,R-RUN-HISTORY-SEARCH;R-RUN-HOME-POPULATED;results/runs.csv;results-correction.md,History pagination failure at360 is separate row; detailBack component-only.
SC-R01,RESULTS,1440x1000,operator/former judge,populated Home and released-judge detail,GAP012-r6@9f71b9f+candidate-8e876257,PARTIAL_WITH_FINDING,R-RUN-HOME-POPULATED;R-RUN-HOME-JUDGE-RELEASE;results/runs.csv;results-correction.md,Actual viewport1440x1000. Desktop History search/filter/pagination not independently run.
SC-R02,RESULTS,390x844,not run,not run,GAP012-r6@9f71b9f+candidate-8e876257,NOT_TESTED,results/runs.csv;results-correction.md,Rankings package browser samples only desktop.
SC-R02,RESULTS,1440x1000,active participant,all-time/month/team ranking; card/challenge,GAP012-r6@9f71b9f+candidate-8e876257,PARTIAL,R-RUN-RANKINGS;results/runs.csv;results-correction.md,Actual1440x1000; week/calendar/tie branches not independently isolated.
SC-R03,RESULTS,390x844,profile owner,own profile edit error and other-session revoke,GAP012-r6@9f71b9f+candidate-8e876257,PARTIAL_WITH_FINDING,R-RUN-PROFILE-VALIDATION;R-RUN-PROFILE-SESSIONS;results/runs.csv;results-correction.md,"Reauth component-only; tutorial isolation API lifecycle, not browser score screen."
SC-R03,RESULTS,1440x1000,active viewer,public active/blocked historical profile,GAP012-r6@9f71b9f+candidate-8e876257,PARTIAL,R-RUN-PROFILE-PUBLIC;results/runs.csv;results-correction.md,Actual1440x1000; own edit/revoke belong390.
SC-R04,RESULTS,390x844,invited participant,notifications lifecycle/read/popup,GAP012-r6@9f71b9f+candidate-8e876257,PARTIAL_WITH_FINDING,R-RUN-NOTIF-LIFECYCLE;R-RUN-NOTIF-READ;results/runs.csv;results-correction.md,Only selected player invitation andterminal fixtures; other types covered in separate packages.
SC-R04,RESULTS,1440x900,not run,not run,GAP012-r6@9f71b9f+candidate-8e876257,NOT_TESTED,results/runs.csv;results-correction.md,No desktop dedicated notification lifecycle replay; global popup on other screenshot not a full run.
SC-C01,COMPONENTS,390x844,synthetic ordinary user/scopedadmin by rawstate,partial applicable states in component reports,GAP012-r6 accepted local; candidate-source.json,PARTIAL,components/report.md; components-supplement/report.md; components-recheck/report.md; components-recheck-correction/coverage-delta.md,Exact state coverage in raw tables; withdrawn1440/360PNG/navoverlap; physical/zoom/spokenAT nottested; no blanketPASS
SC-C01,COMPONENTS,1440x900,synthetic ordinary user/scopedadmin by rawstate,partial applicable states in component reports,GAP012-r6 accepted local; candidate-source.json,PARTIAL,components/report.md; components-supplement/report.md; components-recheck/report.md; components-recheck-correction/coverage-delta.md,Exact state coverage in raw tables; withdrawn1440/360PNG/navoverlap; physical/zoom/spokenAT nottested; no blanketPASS
SC-C02,COMPONENTS,390x844,synthetic ordinary user/scopedadmin by rawstate,partial applicable states in component reports,GAP012-r6 accepted local; candidate-source.json,PARTIAL,components/report.md; components-supplement/report.md; components-recheck/report.md; components-recheck-correction/coverage-delta.md,Exact state coverage in raw tables; withdrawn1440/360PNG/navoverlap; physical/zoom/spokenAT nottested; no blanketPASS
SC-C02,COMPONENTS,1440x900,synthetic ordinary user/scopedadmin by rawstate,partial applicable states in component reports,GAP012-r6 accepted local; candidate-source.json,PARTIAL,components/report.md; components-supplement/report.md; components-recheck/report.md; components-recheck-correction/coverage-delta.md,Exact state coverage in raw tables; withdrawn1440/360PNG/navoverlap; physical/zoom/spokenAT nottested; no blanketPASS
SC-C03,COMPONENTS,390x844,synthetic ordinary user/scopedadmin by rawstate,partial applicable states in component reports,GAP012-r6 accepted local; candidate-source.json,PARTIAL,components/report.md; components-supplement/report.md; components-recheck/report.md; components-recheck-correction/coverage-delta.md,Exact state coverage in raw tables; withdrawn1440/360PNG/navoverlap; physical/zoom/spokenAT nottested; no blanketPASS
SC-C03,COMPONENTS,1440x900,synthetic ordinary user/scopedadmin by rawstate,partial applicable states in component reports,GAP012-r6 accepted local; candidate-source.json,PARTIAL,components/report.md; components-supplement/report.md; components-recheck/report.md; components-recheck-correction/coverage-delta.md,Exact state coverage in raw tables; withdrawn1440/360PNG/navoverlap; physical/zoom/spokenAT nottested; no blanketPASS
SC-C04,COMPONENTS,390x844,synthetic ordinary user/scopedadmin by rawstate,partial applicable states in component reports,GAP012-r6 accepted local; candidate-source.json,PARTIAL,components/report.md; components-supplement/report.md; components-recheck/report.md; components-recheck-correction/coverage-delta.md,Exact state coverage in raw tables; withdrawn1440/360PNG/navoverlap; physical/zoom/spokenAT nottested; no blanketPASS
SC-C04,COMPONENTS,1440x900,synthetic ordinary user/scopedadmin by rawstate,partial applicable states in component reports,GAP012-r6 accepted local; candidate-source.json,PARTIAL,components/report.md; components-supplement/report.md; components-recheck/report.md; components-recheck-correction/coverage-delta.md,Exact state coverage in raw tables; withdrawn1440/360PNG/navoverlap; physical/zoom/spokenAT nottested; no blanketPASS
SC-R01,RESULTS,360x780,participant,history pagination and controlled next-page503,GAP012-r6@9f71b9f+candidate-8e876257,PASS_SAMPLED,R-RUN-HISTORY-PAGE;results/evidence/runtime/history-pagination-error-360.png;results/runs.csv;results-correction.md,Previous rows preserved; no browser zoom or detailBack claim.
SC-AD01,ADMIN,390x844,synthetic active admin; target/organizer where applicable,create/duplicate/one-time password,GAP012-r6 accepted local; candidate-source.json,PASS_SAMPLED,A-RUN-002;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Casefold pair not separately tested
SC-AD01,ADMIN,1440x900,synthetic active admin; target/organizer where applicable,not replayed on desktop,GAP012-r6 accepted local; candidate-source.json,NOT_TESTED,A-RUN-002;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Mobile evidence is not a desktop pass; no physical/WebKit/true zoom/spoken AT
SC-AD02,ADMIN,390x844,synthetic active admin; target/organizer where applicable,block/unblock/role/self/last-admin/session revocation,GAP012-r6 accepted local; candidate-source.json,PARTIAL,A-RUN-005/006;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,No captain handover/full nonadmin matrix/finished-history retention
SC-AD02,ADMIN,1440x900,synthetic active admin; target/organizer where applicable,not replayed on desktop,GAP012-r6 accepted local; candidate-source.json,NOT_TESTED,A-RUN-005/006;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Mobile evidence is not a desktop pass; no physical/WebKit/true zoom/spoken AT
SC-AD03,ADMIN,390x844,synthetic active admin; target/organizer where applicable,scoped tournament override+regeneration,GAP012-r6 accepted local; candidate-source.json,PASS_SAMPLED,A-RUN-008;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Desktop before context only; mobile mutation; no wider tournament replay
SC-AD03,ADMIN,1440x900,synthetic active admin; target/organizer where applicable,scoped tournament override+regeneration,GAP012-r6 accepted local; candidate-source.json,PARTIAL,A-RUN-008;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Desktop before context only; mobile mutation; no wider tournament replay
SC-AD04,ADMIN,390x844,synthetic active admin; target/organizer where applicable,catalog hierarchy/search/rows,GAP012-r6 accepted local; candidate-source.json,PARTIAL_WITH_FINDINGS,A-RUN-001;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,"Search is visible390; fullpage is context, no exact nav overlap assertion"
SC-AD04,ADMIN,1440x900,synthetic active admin; target/organizer where applicable,catalog hierarchy/search/rows,GAP012-r6 accepted local; candidate-source.json,PARTIAL,A-RUN-001;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,"Search is visible390; fullpage is context, no exact nav overlap assertion"
SC-AD05,ADMIN,390x844,synthetic active admin; target/organizer where applicable,profile edit context and missing required audit viewer,GAP012-r6 accepted local; candidate-source.json,FAIL_FINDING,A-RUN-002;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Persistence sampled; no read endpoint exists; proposed route is expert choice
SC-AD05,ADMIN,1440x900,synthetic active admin; target/organizer where applicable,not replayed on desktop,GAP012-r6 accepted local; candidate-source.json,NOT_TESTED,A-RUN-002;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Mobile evidence is not a desktop pass; no physical/WebKit/true zoom/spoken AT
SC-AD06,ADMIN,390x844,synthetic active admin; target/organizer where applicable,reset success and committed lost response,GAP012-r6 accepted local; candidate-source.json,FAIL_WITH_LIMITATION,A-RUN-003/004;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,"No second reset, late-first or other-admin race; BUG038 target accepted with reset-review; implementation not performed"
SC-AD06,ADMIN,1440x900,synthetic active admin; target/organizer where applicable,not replayed on desktop,GAP012-r6 accepted local; candidate-source.json,NOT_TESTED,A-RUN-003/004;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Mobile evidence is not a desktop pass; no physical/WebKit/true zoom/spoken AT
SC-AD07,ADMIN,390x844,synthetic active admin; target/organizer where applicable,D17 correct denial and direct D23 force-close,GAP012-r6 accepted local; candidate-source.json,PARTIAL_BLOCKED_DECISION,A-RUN-007;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Q-UX003 read permission unresolved; other states not replayed
SC-AD07,ADMIN,1440x900,synthetic active admin; target/organizer where applicable,not replayed on desktop,GAP012-r6 accepted local; candidate-source.json,NOT_TESTED,A-RUN-007;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Mobile evidence is not a desktop pass; no physical/WebKit/true zoom/spoken AT
SC-AD08,ADMIN,390x844,synthetic active admin; target/organizer where applicable,catalog loading/error/retry/empty,GAP012-r6 accepted local; candidate-source.json,PARTIAL,A-RUN-001;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Cold-start60seconds not injected; feedback can be below initial viewport
SC-AD08,ADMIN,1440x900,synthetic active admin; target/organizer where applicable,not replayed on desktop,GAP012-r6 accepted local; candidate-source.json,NOT_TESTED,A-RUN-001;admin/runs.csv;admin/evidence/runtime-observations.json;admin-correction.md,Mobile evidence is not a desktop pass; no physical/WebKit/true zoom/spoken AT
SC-AD04,ADMIN,360x800,synthetic active admin,one row focus; no horizontal overflow,GAP012-r6 accepted local; candidate-source.json,PARTIAL,A-RUN-001;admin/evidence/runtime-observations.json;admin-correction.md,"One keyboard focus sample, not full keyboard journey"
